Sáng thế|st
Xuất hành|xh
Lê-vi|lv
Dân số|ds
Đệ nhị luật|đnl
Giô-suê|gs
Thủ lãnh|tl
Rút|r
1 Sa-mu-en|1 sm
2 Sa-mu-en|2 sm
1 Vua|1 v
2 Vua|2 v
1 Sử biên niên|1 sb
2 Sử biên niên|2 sb
Ét-ra|er
Nơ-khe-mi-a|nkm
Tô-bi-a|tb
Giu-đi-tha|gđt
Ét-te|et
1 Ma-ca-bê|1 mcb
2 Ma-ca-bê|2 mcb
Gióp|g
Thánh vịnh|tv
Châm ngôn|cn
Giảng viên|gv
Diễm ca|dc
Khôn ngoan|kn
Huấn ca|hc
I-sai-a|is
Giê-rê-mi-a|gr
Ai ca|ac
Ba-rúc|br
Ê-dê-ki-en|ed
Đa-ni-en|đn
Hô-sê|hs
Giô-en|ge
A-mốt|am
Ô-va-đi-a|ôv
Giô-na|gn
Mi-kha|mk
Na-khum|nk
Kha-ba-cúc|kb
Xô-phô-ni-a|xp
Khác-gai|kg
Da-ca-ri-a|dcr
Ma-la-khi|ml
Mát-thêu|mt
Mác-cô|mc
Lu-ca|lc
Gio-an|ga
Công vụ Tông Đồ|cv
Rô-ma|rm
1 Cô-rin-tô|1 cr
2 Cô-rin-tô|2 cr
Ga-lát|gl
Ê-phê-xô|ep
Phi-líp-phê|pl
Cô-lô-xê|cl
1 Thê-xa-lô-ni-ca|1 tx
2 Thê-xa-lô-ni-ca|2 tx
1 Ti-mô-thê|1 tm
2 Ti-mô-thê|2 tm
Ti-tô|tt
Phi-lê-môn|plm
Híp-ri|hr
Gia-cô-bê|gc
1 Phê-rô|1 pr
2 Phê-rô|2 pr
1 Gio-an|1 ga
2 Gio-an|2 ga
3 Gio-an|3 ga
Giu-đa|gđ
Khải huyền|kh
